intent,example
inform,کد ملی من به این صورت است: [عدد موردنظر].
inform,شماره ملی من به این شرح است: [عدد موردنظر].
inform,شماره ملی من به شکل [عدد موردنظر] است.
inform,کد شناسایی ملی من به شرح [عدد موردنظر] می‌باشد.
inform,کدملی بنده به این صورت است: [عدد موردنظر].
inform,کد ملی من عبارت است از [عدد موردنظر].
inform,شماره ملی خود را به صورت [عدد موردنظر] اعلام می‌کنم.
inform,کدملی اینجانب [عدد موردنظر] می‌باشد.
inform,شماره ملی من به صورت [عدد موردنظر] می‌باشد.
inform,شماره کدملی اینجانب [عدد موردنظر] می‌باشد.
inform,کد ملی من [عدد موردنظر] می‌باشد.
inform,شماره ملی خود را اعلام می‌کنم: [عدد موردنظر].
inform,کد ملی بنده برابر است با [عدد موردنظر].
inform,کدملی من به شرح [عدد موردنظر] می‌باشد.
inform,شماره شناسنامه ملی اینجانب [عدد موردنظر] است.
inform,شماره کد ملی بنده [عدد موردنظر] می‌باشد.
inform,شماره ملی بنده [عدد موردنظر] است.
inform,کد شناسایی من به این صورت است: [عدد موردنظر].
inform,کدملی من به صورت [عدد موردنظر] است.
inform,کد ملی اینجانب به شرح [عدد موردنظر] می‌باشد.
inform,شماره کدملی من برابر است با [عدد موردنظر].
inform,کدملی من [عدد موردنظر] هست.
inform,شماره ملی من [عدد موردنظر] هست.
inform,کد ملی من [عدد موردنظر] هستش.
inform,کدملی‌ام [عدد موردنظر] هست.
inform,ملی‌کدم [عدد موردنظر] هست.
inform,کد ملی من [عدد موردنظر] می‌باشد.
inform,شماره کدملی من [عدد موردنظر] هست.
inform,کدملی من [عدد موردنظر] هست.
inform,کدملی‌ام برابر با [عدد موردنظر] هست.
inform,شماره ملی من [عدد موردنظر] است.
inform,کد ملی بنده [عدد موردنظر] هست.
inform,کد ملی من به این شکل [عدد موردنظر] هست.
inform,کدملی خودم [عدد موردنظر] هست.
inform,کدملی بنده [عدد موردنظر] است.
inform,کد ملی اینجانب برابر با [عدد موردنظر] هست.
inform,این کدملی منه: [عدد موردنظر].
inform,کدملی من اینه: [عدد موردنظر].
inform,اینم کدملی من: [عدد موردنظر].
inform,کد ملی من به این شماره‌ است: [عدد موردنظر].
inform,کدملی من: [عدد موردنظر].
inform,شماره ملی‌ام: [عدد موردنظر].
inform,این شماره ملی منه: [عدد موردنظر].
inform,کدملی من [عدد موردنظر] هستش.
inform,کد ملی من [عدد موردنظر] است.
inform,کد ملی من به این صورت: [عدد موردنظر].
inform,شماره کدملی‌ام: [عدد موردنظر].
inform,شماره ملی من اینه: [عدد موردنظر].
inform,این کد ملی من هست: [عدد موردنظر].
inform,کد شناسایی من [عدد موردنظر].
inform,کد ملی [عدد موردنظر].
inform,ملی‌کدم [عدد موردنظر].
inform,کدملی: [عدد موردنظر].
inform,شماره کدملی: [عدد موردنظر].
inform,کد ملی اینجانب [عدد موردنظر].
inform,ملی‌کد [عدد موردنظر].
inform,کدملی: [عدد].
inform,شناسایی: [عدد].
inform,کدملی من [عدد].
inform,ملی من [عدد].
inform,کد ملی من [عدد].
inform,کد شناسایی‌ام [عدد].
inform,کدم [عدد].
inform,ملی‌ام [عدد].
inform,کد من [عدد].
inform,کد ملی: [عدد].
inform,شماره کد: [عدد].
inform,کدملی بنده: [عدد].
inform,شماره شناسنامه: [عدد].
inform,کد ملی: [عدد].
inform,ملی‌کدم [عدد].
inform,شماره شناسایی‌ام [عدد].
inform,کدملی‌ام [عدد].
inform,کدملی من [عدد] است.
inform,کد شناسایی من به صورت [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] می‌باشد و می‌خواستم اطلاع بدم.
inform,این کدملی من است: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و خواستم بگم.
inform,کد ملی بنده به این شرح است: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و این شماره‌ام است.
inform,شماره ملی بنده [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] می‌باشد و اینو گفتم.
inform,این کد شناسایی ملی من هست: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و اطلاع بدم که اینه.
inform,کدملی خودم [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] است و این عدد رو اعلام می‌کنم.
inform,این کد ملی منه: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و اینو خواستم اعلام کنم.
inform,شماره ملی من [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] است و همینو می‌خواستم بگم.
inform,کد شناسنامه من به صورت [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] هست و اینو اطلاع بدم.
inform,این شماره ملی من است: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و این همون کدم هست.
inform,کدملی من [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] است و این شماره‌ام هست.
inform,شماره ملی من به این شرح هست: [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] و این شماره‌ام است.
inform,کدملی من برابر با [پونصد و پنجاه و دو نهصد و هشتاد و سه سی و سه بیست] هست و اینو خواستم بگم.
inform,کدملی من به این عدد [پونصد و پنجاه و دو نهصد و
inform,[چهارصد و چهل و و سه هشتصد و سی و هفت هشتاد و سه پنج](number)
inform,کد ملی من [چهل و چهار بیست نود و نه بیست و نه نونزده](number) هست
inform,[چارصد و چل و دو صفر پونصد و نود و نه سیصد و نود و پنج](number)
inform,پلاک من [سی و چهار جیم دویست و بیست و دو ایران پنجاه و چهار](number) است.
inform,[صد و بیست و سه چهارصد و پنجاه و شش هفتصد و هشتاد و نه صفر](number)
inform,[صد و پنجاه و چهار صد دویست و بیست و دو نه](number)
inform,[ هفتاد و پنج طا هفتصد و بیست و هشت ایران شصت و شش](number)
inform,[هفتاد و پنج کاف هفتصد و بیست و هشت ایران شصت و شش](number)
inform,[ ایران شصت و شش هفتاد و پنج صاد چهارصد و بیست و یک](number)
inform,پلاک خودروی من [نود و یک الف پونصد و شصت و هفت ایران چهل و هفت](number) هست.
inform,[پنجاه عین پانصد و پنجاه و پنج ایران پنجاه](number)
inform,[پنجاه الف پانصد و پنجاه و پنج ایران بیست و پنج](number)
inform,[بیست و یک الف دویست و بیست و یک ایران بیست و یک](number)
inform,کد پیگیری من [پنجاه و شش نود و نه چهار](number) هست.
inform,[4430837733](number)
inform,[0014767891](number)
inform,[۰۰۱۴۷۶۷۸۹۱](number)
inform,کد ملی من [1234567890](number) هست
inform,کد ملیم [9876543210](number)است.
inform,کد ملی من [۱۲۳۴۵۶۷۸۹۰](number) هست
inform,کد ملیم [۹۸۷۶۵۴۳۲۱۰](number)است.
inform,پلاک من [11 جیم 395 ایران 54](number) هست.
inform,پلاک من [14 جیم 345 ایران 11](number) هست.
inform,[55 الف 555 ایران 55](number)
inform,[34 د 272 ایران 21](number)
inform,پلاک من [۱۴ جیم ۳۴۵ ایران ۱۱](number) هست.
inform,[۳۴ د ۲۷۲ ایران ۲۱](number)
inform,[2](number)
inform,[3](number)
inform,[7](number)
inform,[8](number)
inform,[9](number)
inform,[30](number)
inform,[40](number)
inform,[60](number)
inform,[70](number)
inform,[100](number)
inform,[50000](number)
inform,[600000](number)
inform,[7000000](number)
inform,[۲](number)
inform,[۳](number)
inform,[۴](number)
inform,[۵](number)
inform,[۶](number)
inform,[۸](number)
inform,[۹](number)
inform,[۱۰](number)
inform,[۲۰](number)
inform,[۳۰](number)
inform,[۴۰](number)
inform,[۷۰](number)
inform,[۱۰۰](number)
inform,[۳۰۰](number)
inform,[۴۰۰۰](number)
inform,[۵۰۰۰۰](number)
inform,[۶۰۰۰۰](number)
inform,[۷۰۰۰۰۰](number)
ticket_result,من یک شکایت ثبت کرده‌ام، لطفاً بفرمایید در چه مرحله‌ای قرار دارد.
ticket_result,می‌خواستم پیگیر شکایتی که قبلاً ثبت کرده بودم، بشوم.
ticket_result,از آخرین وضعیت شکایت ثبت‌شده‌ام خبر دارید؟
ticket_result,شکایتی که ثبت کرده بودم به کجا رسیده؟
ticket_result,می‌توانید وضعیت فعلی شکایتی که ثبت کرده‌ام را بگویید؟
ticket_result,خواهشمندم آخرین وضعیت شکایت مرا بفرمایید.
ticket_result,روند پیگیری شکایت من به کجا رسیده؟
ticket_result,از آخرین پیگیری شکایت ثبت‌شده‌ام مطلع هستید؟
ticket_result,شکایت ثبت‌شده‌ام در چه مرحله‌ای از بررسی است؟
ticket_result,خواهشمندم پیگیری وضعیت شکایت مرا انجام دهید.
ticket_result,لطفاً از روند رسیدگی به شکایت من مطلع شوید و مرا آگاه سازید.
ticket_result,می‌خواستم بدانم شکایت ثبت‌شده‌ام در چه وضعیتی قرار دارد.
ticket_result,آیا می‌توانید اطلاعاتی از روند بررسی شکایتم ارائه دهید؟
ticket_result,از آخرین تحولات مربوط به شکایتم خبری دارید؟
ticket_result,لطفاً مراحل رسیدگی به شکایتم را توضیح دهید.
ticket_result,آیا اطلاعاتی درباره پیگیری شکایت من دارید؟
ticket_result,وضعیت رسیدگی به شکایت ثبت‌شده‌ام چیست؟
ticket_result,شکایت ثبت‌شده من در چه مرحله‌ای قرار دارد؟
ticket_result,از وضعیت شکایت ثبت‌شده‌ام خبری دارید؟
ticket_result,روند رسیدگی به شکایتم چگونه پیش می‌رود؟
ticket_result,می‌توانید وضعیت فعلی شکایت مرا بررسی کنید؟
ticket_result,لطفاً پیگیری شکایت من را انجام دهید.
ticket_result,می‌خواهم بدانم شکایت ثبت‌شده‌ام در چه وضعیتی است.
ticket_result,می‌شود از روند بررسی شکایت من مطلع شوید؟
ticket_result,خواهشمندم از وضعیت کنونی پرونده شکایتم مرا آگاه کنید.
ticket_result,میشه بگی شکایتم به کجا رسید؟
ticket_result,شکایتی که ثبت کردم، چی شد؟
ticket_result,پیگیر شکایتم هستم، به کجا رسید؟
ticket_result,میشه بگی شکایتم در چه مرحله‌ایه؟
ticket_result,شکایتم رو بررسی کردی؟
ticket_result,شکایت من به کجا رسید؟
ticket_result,شکایت من تو چه مرحله‌ایه؟
ticket_result,شکایتی که کردم، چی شد؟
ticket_result,می‌خواستم بدونم شکایتم به کجا رسیده.
ticket_result,وضعیت شکایت من چطوره؟
ticket_result,شکایت من بررسی شده؟
ticket_result,شکایت من چی شد؟
ticket_result,شکایت ثبت شده‌ام به کجا رسیده؟
ticket_result,میشه بگی شکایت من تو چه مرحله‌ایه؟
ticket_result,خبر جدیدی از شکایتم داری؟
ticket_result,می‌خواستم بدونم شکایتم چی شد.
ticket_result,شکایتم تو چه وضعیتی قرار داره؟
ticket_result,پیگیر شکایتم هستم، چه خبر؟
ticket_result,می‌تونی بگی شکایتم به کجا رسیده؟
ticket_result,شکایت ثبت‌شده‌ام چه وضعیتی داره؟
ticket_result,شکایتم در چه مرحله‌ایه؟
ticket_result,شکایتی که ثبت کردم، چه وضعیتی داره؟
ticket_result,وضعیت شکایتم چیه؟
ticket_result,شکایت من چی شد آخرش؟
ticket_result,می‌خواستم بدونم شکایت ثبت‌شده‌ام به کجا رسیده.
ticket_result,شکایت من به کجا رسیده؟
ticket_result,از وضعیت شکایت من خبر داری؟
ticket_result,میشه بگی شکایت من چه وضعیتی داره؟
ticket_result,پیگیری شکایتم را می‌خواستم
ticket_result,شکایت من در چه مرحله‌ای است؟
ticket_result,مراحل شکایتم کجاست؟
ticket_result,شکایتم رو پیگیری کن
ticket_result,شکایت من چی شد؟
ticket_result,آخرین وضعیت شکایتم چیست؟
ticket_result,می‌خواستم بدونم شکایتم چه شد
ticket_result,شکایت من پیگیری شده؟
ticket_result,مراحل بررسی شکایتم چطور پیش می‌رود؟
ticket_result,آیا شکایتم پیگیری شده؟
ticket_result,آیا شکایت من پاسخ داده شده؟
ticket_result,شکایت من در چه مرحله‌ای قرار دارد؟
ticket_result,شکایتم چه وضعیتی دارد؟
ticket_result,نتیجه بررسی شکایتم چیست؟
ticket_result,آیا شکایتم مورد بررسی قرار گرفته؟
ticket_result,وضعیت بررسی شکایت من چیست؟
ticket_result,آیا به شکایتم رسیدگی شده؟
ticket_result,مراحل پیگیری شکایتم چطور پیش می‌رود؟
ticket_result,پیشرفت شکایتم چگونه است؟
ticket_result,وضعیت بررسی شکایتم را می‌خواستم بدانم
ticket_result,وضعیت نهایی شکایتم چیست؟
ticket_result,به شکایتم پاسخ داده شده؟
ticket_result,می‌خواستم بدونم شکایتی که ثبت کرده بودم چه مسیری را طی کرده و آیا به نتیجه‌ای رسیده یا هنوز در دست بررسی است؟
ticket_result,آیا می‌توانید به من بگویید که شکایت من در چه وضعیتی است و چه اقداماتی برای آن انجام شده است؟
ticket_result,من یک شکایت به ثبت رسانده بودم و دوست دارم بدانم که در حال حاضر چه اتفاقی برای آن افتاده و چه نتیجه‌ای گرفته شده است؟
ticket_result,می‌خواستم از شما بپرسم که شکایت من در حال حاضر در چه مرحله‌ای است و آیا پاسخی برای آن آمده است یا نه؟
ticket_result,آیا می‌توانید به من اطلاع دهید که شکایت من به کجا رسیده و چه مراحلی را طی کرده است؟
ticket_result,شکایتی که من ثبت کرده بودم، در حال حاضر در چه مرحله‌ای قرار دارد و آیا به آن رسیدگی شده است یا نه؟
ticket_result,لطفاً به من بگویید که شکایت من در چه وضعیتی است و چه اقداماتی برای آن انجام شده است؟
ticket_result,من قبلاً یک شکایت را ثبت کرده بودم و حالا می‌خواهم بدانم که آیا به آن رسیدگی شده و در چه مرحله‌ای قرار دارد؟
ticket_result,آیا می‌توانید به من بگویید که شکایت من چه مسیری را طی کرده و در حال حاضر در چه وضعیتی است؟
ticket_result,شکایتی که ثبت کرده بودم، در حال حاضر در چه مرحله‌ای قرار دارد و آیا پاسخی برای آن آمده است؟
ticket_result,می‌خواستم از شما بپرسم که شکایت من در حال حاضر در چه وضعیتی است و آیا به نتیجه‌ای رسیده یا هنوز در دست بررسی است؟
ticket_result,آیا می‌توانید به من بگویید که شکایت من به کجا رسیده و چه اقداماتی برای آن انجام شده است؟
ticket_result,شکایتی که من ثبت کرده بودم، در حال حاضر در چه مرحله‌ای قرار دارد و آیا به آن رسیدگی شده است یا نه؟
ticket_result,لطفاً به من بگویید که شکایت من در چه وضعیتی است و چه اقداماتی برای آن انجام شده است؟
ticket_result,آیا می‌توانید به من بگویید که شکایت من چه مسیری را طی کرده و در حال حاضر در چه وضعیتی است؟
ticket_result,شکایتی که ثبت کرده بودم، در حال حاضر در چه مرحله‌ای قرار دارد و آیا پاسخی برای آن آمده است؟
ticket_result,شکایتی که ثبت کرده بودم در چه وضعیتی است و چه اقدامی برای آن صورت گرفته؟
ticket_result,می‌توانید بگویید که شکایتی که قبلاً ثبت کرده بودم چه پیشرفتی داشته است؟
ticket_result,آیا امکان دارد که من را در جریان مراحل پیگیری شکایت ثبت‌شده‌ام قرار دهید؟
ticket_result,می‌خواستم بدانم که شکایت من به کجا رسیده و آیا به نتیجه‌ای رسیده است؟
ticket_result,لطفاً وضعیت فعلی شکایت من را توضیح دهید و بگویید که چه کارهایی برای آن انجام شده است؟
ticket_result,آیا شکایت من مورد بررسی قرار گرفته و در حال حاضر در چه مرحله‌ای قرار دارد؟
ticket_result,می‌توانید به من بگویید که شکایت ثبت‌شده‌ام چه وضعیتی دارد و چه اقداماتی برای آن انجام شده است؟
ticket_result,آیا می‌توانید اطلاعاتی در مورد وضعیت فعلی شکایت من و اینکه چه اقداماتی برای آن انجام شده، به من بدهید؟
ticket_result,می‌خواستم بدانم که شکایت من در چه مرحله‌ای است و آیا تاکنون پاسخی برای آن آمده است؟
ticket_result,وضعیت شکایت من چیست و چه اقداماتی برای آن صورت گرفته است؟
ticket_result,شکایتی که قبلاً ثبت کرده بودم در چه مرحله‌ای قرار دارد و چه کارهایی برای آن انجام شده است؟
ticket_result,آیا می‌توانید به من بگویید که شکایت من چه وضعیتی دارد و آیا به آن رسیدگی شده است؟
ticket_result,شکایت من در چه مرحله‌ای است و چه اقداماتی برای آن انجام شده؟
ticket_result,من یک شکایت ثبت کرده بودم، می‌خواهم بدانم که در حال حاضر چه وضعیتی دارد و چه اقداماتی برای آن صورت گرفته است؟
ticket_result,لطفاً وضعیت شکایت من را توضیح دهید و بگویید که چه مراحلی را طی کرده و در چه مرحله‌ای قرار دارد؟
ticket_result,پیگیری تیکت
ticket_result,میخوام تیکتی که ثبت کرده بودم رو پیگیری کنم
ticket_result,پیگیری نتیجه تیکت
ticket_result,میخوام نتیجه تیکتم رو ببینم
traffic_package,می‌خواهم از نوع بسته‌ی ترافیکی و تعرفه‌ی آن مطلع شوم
traffic_package,لطفاً نوع بسته‌ی ترافیکی و تعرفه‌ی آن را اعلام نمایید
traffic_package,لطفاً نوع و تعرفه‌ی بسته‌ی ترافیکی را برایم توضیح دهید
traffic_package,از شما تقاضا دارم نوع بسته‌ی ترافیکی و تعرفه‌ی آن را بگویید
traffic_package,لطفاً بسته‌ی ترافیکی و تعرفه‌ی آن را مشخص کنید
traffic_package,می‌خواهم اطلاعات بسته‌ی ترافیکی و تعرفه‌ی آن را بدانم
traffic_package,بسته‌ی ترافیکی و تعرفه‌ی آن چیست؟
traffic_package,لطفاً بگویید بسته‌ی ترافیکی و تعرفه‌ی آن چگونه است
traffic_package,از شما می‌خواهم نوع و تعرفه‌ی بسته‌ی ترافیکی را اعلام نمایید
traffic_package,خواهشمندم نوع بسته‌ی ترافیکی و تعرفه‌ی آن را بفرمایید
traffic_package,لطفاً بسته‌ی ترافیکی و تعرفه‌ی مربوطه را توضیح دهید
traffic_package,می‌توانید نوع بسته‌ی ترافیکی و تعرفه‌ی آن را بگویید؟
traffic_package,از شما تقاضا دارم بسته‌ی ترافیکی و تعرفه‌ی آن را اعلام نمایید
traffic_package,می‌خواهم بدانم بسته‌ی ترافیکی و تعرفه‌ی آن چیست
traffic_package,بسته‌ی ترافیکی و تعرفه‌ی آن را توضیح دهید
traffic_package,لطفاً جزئیات بسته‌ی ترافیکی و هزینه‌ی آن را اعلام کنید
traffic_package,می‌خواهم درباره‌ی تعرفه‌ی بسته‌های ترافیکی اطلاعات کسب کنم
traffic_package,آیا می‌توانید هزینه و نوع بسته‌های ترافیکی را بفرمایید؟
traffic_package,ممنون می‌شوم اگر تعرفه و نوع بسته‌ی ترافیکی را بگویید
traffic_package,می‌توانید اطلاعات مربوط به بسته‌ی ترافیکی و قیمت آن را ارائه دهید؟
traffic_package,آیا امکان دارد جزئیات بسته‌ی ترافیکی و هزینه‌ی آن را بگویید؟
traffic_package,از شما تقاضا دارم اطلاعات بسته‌ی ترافیکی و تعرفه‌ی آن را بدهید
traffic_package,آیا می‌توانید تعرفه و نوع بسته‌ی ترافیکی را شرح دهید؟
traffic_package,می‌خواهم از هزینه و نوع بسته‌ی ترافیکی مطلع شوم
traffic_package,آیا می‌شود اطلاعاتی درباره‌ی بسته‌ی ترافیکی و تعرفه‌ی آن بدهید؟
traffic_package,می‌خواهم بدانم هزینه و نوع بسته‌ی ترافیکی چگونه است
traffic_package,لطفاً بفرمایید بسته‌ی ترافیکی و تعرفه‌ی آن چگونه محاسبه می‌شود
traffic_package,نوع بسته ترافیکی و قیمتش چیه؟
traffic_package,بسته ترافیکی و هزینه‌ش چجوریه؟
traffic_package,می‌خوام بدونم بسته ترافیکی و قیمتش چقدره؟
traffic_package,میشه بگی بسته ترافیکی و تعرفه‌ش چیه؟
traffic_package,بسته ترافیکی رو بهم توضیح بده، قیمتش هم بگو
traffic_package,بسته ترافیکی و قیمتش چطوریه؟
traffic_package,می‌خوام بسته ترافیکی و تعرفه‌ش رو بدونم
traffic_package,بسته ترافیکی چیه؟ هزینه‌ش چقدره؟
traffic_package,بسته ترافیکی و قیمتش رو میگی؟
traffic_package,نوع بسته ترافیکی و تعرفه‌ش رو می‌خوام بدونم
traffic_package,می‌خوام بدونم بسته ترافیکی و تعرفه‌ش چیه
traffic_package,بسته ترافیکی رو میگی؟ هزینه‌ش چقدره؟
traffic_package,میشه توضیح بدی بسته ترافیکی و قیمتش چیه؟
traffic_package,بسته ترافیکی چیه و قیمتش چقدره؟
traffic_package,بسته ترافیکی رو معرفی می‌کنی؟ تعرفه‌ش چقدره؟
traffic_package,بسته‌های ترافیکی و هزینه‌هاشون چطورین؟
traffic_package,یه توضیحی درباره بسته ترافیکی و هزینه‌ش میدی؟
traffic_package,تعرفه بسته ترافیکی چقدره؟
traffic_package,بسته‌های ترافیکی و قیمتشون چطوریه؟
traffic_package,بسته ترافیکی چیه؟ هزینه‌ش چقدره؟
traffic_package,بسته ترافیکی و قیمتش چقدره؟
traffic_package,می‌خوام بدونم بسته ترافیکی چیه و چقدر هزینه داره
traffic_package,تعرفه بسته ترافیکی رو میگی؟
traffic_package,بسته ترافیکی و تعرفه‌هاش چطورین؟
traffic_package,میشه بسته ترافیکی رو توضیح بدی و قیمتش رو بگی؟
traffic_package,بسته ترافیکی و تعرفه‌ش رو می‌خوام بدونم
traffic_package,بسته ترافیکی چیه و هزینه‌ش چقدره؟
traffic_package,می‌خوام بسته ترافیکی و تعرفه‌ش رو بدونم
traffic_package,بسته ترافیکی و قیمتش رو میگی لطفاً؟
traffic_package,میشه تعرفه و نوع بسته ترافیکی رو بگی؟
traffic_package,تعرفه بسته چقدره؟
traffic_package,نوع بسته های ترافیکی شما چیه؟
traffic_package,تعرفه‌های بسته‌ها رو بگو
traffic_package,قیمت بسته های اینترنت چقدره؟
traffic_package,بسته‌های ترافیکی شما چطورین؟
traffic_package,بسته‌های اینترنتی رو توضیح بده
traffic_package,قیمت و نوع بسته‌هاتون چیه؟
traffic_package,بسته‌های اینترنتی موجود رو بگو
traffic_package,تعرفه بسته اینترنتی چیه؟
traffic_package,بسته‌های اینترنت رو معرفی کن
traffic_package,هزینه بسته‌های ترافیکی رو می‌خواستم بدونم
traffic_package,بسته‌های ترافیکی و تعرفه‌ها رو توضیح بده
traffic_package,بسته‌های ترافیکی با تعرفه‌شون رو بگو
traffic_package,نوع بسته‌های اینترنتی چیه؟
traffic_package,بسته‌های ترافیکی چطور محاسبه میشه؟
traffic_package,جزئیات بسته‌های ترافیکی رو بگو
traffic_package,قیمت بسته‌های اینترنتی رو می‌خوام
traffic_package,بسته‌های ترافیکی شما چه ویژگی‌هایی دارند؟
traffic_package,بسته‌های اینترنتی موجود کدومند؟
traffic_package,نوع و تعرفه بسته‌های اینترنتی رو می‌خوام
traffic_package,بسته‌های ترافیکی شما چطور کار می‌کنند؟
traffic_package,بسته‌های اینترنتی شما چه قیمتی دارند؟
traffic_package,قیمت بسته‌های اینترنتی شما چقدره؟
traffic_package,تعرفه بسته‌های اینترنتی رو می‌خوام
traffic_package,چه بسته‌های اینترنتی در دسترسه؟
traffic_package,بسته‌های ترافیکی شما رو می‌خوام بدونم
traffic_package,تعرفه بسته‌های اینترنتی شما چنده؟
traffic_package,نوع بسته‌های ترافیکی شما چیه؟
traffic_package,بسته‌های ترافیکی و قیمتشون چجوریه؟
traffic_package,لطفاً می‌تونید بگید نوع بسته ترافیکی که ارائه می‌دید چیه و تعرفه هر کدوم به چه صورته؟
traffic_package,می‌خواستم بدونم بسته‌های ترافیکی شما شامل چه نوع‌هایی هستن و تعرفه هر کدوم چجوریه؟
traffic_package,میشه لطفاً نوع بسته‌های ترافیکی که دارید و تعرفه هر کدوم رو بگید؟
traffic_package,لطفاً میشه بگید بسته‌های ترافیکی شما چه نوع‌هایی دارن و تعرفه هر کدوم چقدره؟
traffic_package,میشه نوع و تعرفه بسته‌های ترافیکی شما رو بدونم؟
traffic_package,میشه لطفاً نوع و تعرفه بسته‌های ترافیکی که ارائه می‌دید رو بگید؟
traffic_package,لطفاً بگید بسته‌های ترافیکی شما شامل چه نوع‌هایی هستن و تعرفه هر کدوم چجوریه؟
traffic_package,من نیاز دارم بدونم بسته‌های ترافیکی که شما ارائه می‌دید شامل چه نوع‌هایی هستن و هزینه‌شون چقدره؟
traffic_package,لطفاً توضیح بدید بسته‌های ترافیکی شما چه نوع‌هایی دارن و هزینه هر کدوم چقدره؟
traffic_package,می‌خواستم اطلاعاتی در مورد نوع بسته‌های ترافیکی و تعرفه‌شون داشته باشم، میشه کمک کنید؟
traffic_package,نیاز دارم بدونم بسته‌های ترافیکی که ارائه می‌کنید چه نوع‌هایی دارن و هزینه‌شون چقدره؟
traffic_package,میشه لطفاً نوع و تعرفه بسته‌های ترافیکی که ارائه می‌دید رو بگید؟
traffic_package,لطفاً می‌تونید اطلاعاتی درباره نوع بسته‌های ترافیکی و هزینه‌های آن‌ها ارائه بدید؟
traffic_package,می‌خواستم بدونم بسته‌های ترافیکی شما چه نوع‌هایی دارند و تعرفه هر کدوم به چه صورته؟
traffic_package,آیا امکانش هست بگید بسته‌های ترافیکی شما چه نوع‌هایی دارن و تعرفه هر کدوم چقدره؟
traffic_package,لطفاً بگید بسته‌های ترافیکی شما چه نوع‌هایی دارن و هزینه هر کدوم چقدره؟
traffic_package,نیاز دارم بدونم بسته‌های ترافیکی که ارائه می‌کنید شامل چه نوع‌هایی هستن و هزینه‌شون چقدره؟
traffic_package,میشه نوع و تعرفه بسته‌های ترافیکی شما رو بدونم؟
traffic_package,می‌خواستم اطلاعاتی درباره نوع بسته‌های ترافیکی و تعرفه هر کدوم داشته باشم.
traffic_package,میشه لطفاً نوع و تعرفه بسته‌های ترافیکی که ارائه می‌دید رو بگید؟
traffic_package,بسته‌های ترافیکی شما شامل چه نوع‌هایی هستن و تعرفه هر کدوم چقدره؟
traffic_package,نیاز دارم بدونم بسته‌های ترافیکی که ارائه می‌کنید شامل چه نوع‌هایی هستن و تعرفه‌شون چقدره؟
traffic_package,آیا امکانش هست نوع و تعرفه بسته‌های ترافیکی که ارائه می‌دید رو بگید؟
traffic_package,لطفاً بگید بسته‌های ترافیکی شما شامل چه نوع‌هایی هستن و هزینه هر کدوم چقدره؟
traffic_package,بسته ی ترافیکی من چیه؟ قیمتش چنده؟
traffic_package,تعرفه بسته ترافیکی پلاک
traffic_package,بسته ی ترافیکی ماشین من چیه
greeting_hello,درود بر شما
greeting_hello,سلام و عرض ادب
greeting_hello,وقت بخیر
greeting_hello,با سلام خدمت شما
greeting_hello,سلام و درود
greeting_hello,سلام و احترام
greeting_hello,سلام، حال شما؟
greeting_hello,سلام، روز خوش
greeting_hello,سلام بر شما
greeting_hello,سلام، خوش آمدید
greeting_hello,سلام و خداقوت
greeting_hello,سلام و خسته نباشید
greeting_hello,سلام و احترام خدمت شما
greeting_hello,سلام و شادباش
greeting_hello,سلام بر شما عزیزان
greeting_hello,سلام و درود فراوان
greeting_hello,سلام و روزتان خوش
greeting_hello,سلام و امید به روزی شاد
greeting_hello,سلام و احترام ویژه
greeting_hello,سلام، چگونه هستید؟
greeting_hello,سلام و خوشحالم از شنیدن صدایتان
greeting_hello,سلام، خوش آمدید به این تماس
greeting_hello,سلام، روز خوبی داشته باشید
greeting_hello,سلام، لحظات خوبی را سپری کنید
greeting_hello,سلام و بهترین آرزوها برای شما
greeting_hello,چطوری؟
greeting_hello,چطور مطوری؟
greeting_hello,سلام دوست من
greeting_hello,سلام خواهر
greeting_hello,سلام به روی ماهت
greeting_hello,چکار می‌کنی؟
greeting_hello,سلام عزیز
greeting_hello,سلام مهربون
greeting_hello,سلام خوشگلم
greeting_hello,سلام بابا
greeting_hello,سلامی دوباره
greeting_hello,چطوری خواهر؟
greeting_hello,سلام مجدد
greeting_hello,چطوری هم‌وطن؟
greeting_hello,حالت چطوره؟
greeting_hello,سلام رفیق قدیمی
greeting_hello,سلام به همه
greeting_hello,سلام مجدد
greeting_hello,چطور پیش می‌ره؟
greeting_hello,چطور می‌گذره؟
greeting_hello,چه خبر از خودت؟
greeting_hello,سلام، حالت خوبه؟
greeting_hello,سلام، روزت بخیر
greeting_hello,چه طوریا؟
greeting_hello,چطوری خوشگلم؟
